algoritmo,n,min,max,promedio,Desviacion_estandar,Coeficiente_varicion
bruteforce,20,0.0005394470008468488,0.0024296370011143154,0.0005869371963514758,9.810805780952849e-05,0.1671525649070951
bruteforce,25,0.0019835420007439097,0.009242943000572268,0.0022290915165999177,0.0006482267242706729,0.29080310047540237
bruteforce,29,0.004787105999639607,0.016057110999099677,0.005395256864890945,0.0011141758769992198,0.20651025611951856
bruteforce,18,0.0003211999992345227,0.0023458159994333982,0.0003633979443715576,9.907333141603449e-05,0.2726304123358953
bruteforce,30,0.005961827999271918,0.01751683799921011,0.006714355199138707,0.0013515053583658834,0.20128594902742852
bruteforce,27,0.0030231529999582563,0.015746832001241273,0.0034486462295018052,0.0008017526369438146,0.23248329448382898
bruteforce,13,6.821799979661591e-05,0.0002695659986784449,8.52936428141728e-05,2.6910917729051778e-05,0.3155090677470763
bruteforce,15,0.00013217699961387552,0.0003760899999178946,0.00014886446188233461,3.721983188501202e-05,0.2500249650882512
bruteforce,27,0.0030597820004913956,0.010998519001077511,0.0034619523136977387,0.0008085812205979426,0.233562206330419
bruteforce,20,0.0005592739998974139,0.0011477120006020414,0.0005948848097464236,8.671674274120199e-05,0.14577064554424574
bruteforce,25,0.0019003469988092547,0.006525469998450717,0.0021223210191554085,0.0004537772089483792,0.21381176780172625
bruteforce,20,0.0005590230011875974,0.0012836559999414021,0.000595687155198706,0.00010066918229257377,0.16899673161324605
bruteforce,20,0.000555266999072046,0.003236948999983724,0.0006454584964686291,0.00021590110418922133,0.3344926209360305
bruteforce,27,0.003048118998776772,0.0137302279999858,0.0034588077559716828,0.0008127058742683978,0.23496705558880776
bruteforce,26,0.002407062998827314,0.008162836000337848,0.002733049804117569,0.0006229402901335785,0.2279286272775076
bruteforce,15,0.00013275700075610075,0.0006845770003565121,0.00013836202244918167,1.9797298803629782e-05,0.1430833291765523
bruteforce,26,0.0024029650012380444,0.013848672000676743,0.0027489415708350055,0.0007518573103768786,0.2735079269613206
bruteforce,18,0.000311120000333176,0.0016649979988869745,0.0003671853342726355,0.00011594404700404829,0.3157643734157413
bruteforce,16,0.00018453399934514891,0.0003673960000014631,0.00018970163207361544,1.1543940468531051e-05,0.06085314260264941
bruteforce,17,0.0002458790004311595,0.0006296650008152938,0.000255433533431494,2.288278320802373e-05,0.08958410002248501
bruteforce,26,0.0024225719989772188,0.007858615999793983,0.0026897627667018596,0.0005128295639031297,0.19065977500013967
bruteforce,29,0.0048034060000645695,0.018910075999883702,0.005389898777466425,0.001173050488989152,0.21763868625758423
